userName,score,at,content
Sita Satria,3,2026-05-05 14:47:31,kenapa ya aplikasi ini apa eror kok saya ngentry ibl baduta capaian tetap aja gitu kdg naik satu pdhl udh banyak ngentry.. tolog lah aplikasi ini apakah eror kr kmi dikejar untk meningkatkan capaian..
Melisa Kurniawati,3,2026-05-05 02:32:02,"coba adakan aplikasi untuk pc min, biar enak klo entri lebih satset"
Joni Mustopa (Oni),5,2026-05-04 01:05:57,mantap
Linda Wahyuni,2,2026-05-03 04:02:40,"ini aplikasi semakin di update semakin buruk, setelah kita input kelamaan loading jadi tidak mood untuk mengisi, padahal jaringan kuat tapi kelamaan loading, tolong diperbaiki jangan pake lam loading langsung aja masuk setelah penginputan data"
Yan Mnubefor,3,2026-04-30 04:27:47,agak susah
nara's game,1,2026-04-23 11:54:27,"jelek banget, suka patah-patah. trus kalo bolak-balik apk buat isi data suka tiba-tiba keluar lagi jadi harus isi ulang tanggal sama tempat imunisasi (RIBET). udah gitu ga bisa di teken biar bisa di block biar hapusnya mudah, harus hapus pelan-pelan satu persatu. untuk nama ortu di bagian imunisasi juga tolong dibuat kapital setiap kata nama secara otomatis, jangan cuma nama anak aja. dan jangan saranin nama yang bukan berkaitan sama nama yang dimasukin. trs juga untk edit data tidak bisa keubah"
A. Lazuardi,1,2026-04-21 07:21:02,"Masalah dari dulu ga beres beres!!!!!!. Coba perbaiki kualitas, kecepatan, kerjasama sama dinas catatan sipil. Sudah ada NIK ga terbaca terus, sudah masukin sasaran tapi di cari tidak ada. Ayolah!!! Benerin aplikasinya!!!!supaya kami yang menginput data tidak mengalami kendala kendala yang membuat lambat penginputan. 🐒"
Rosma Nina,1,2026-04-21 01:07:35,sangat buruk lodingnya lama bangat mau update data 1 orang aja bisa 30 menit tolong dong diperbaiki ini nyita waktu bangat nunggu loding doang
Zulfa Nayla,1,2026-04-17 02:41:12,"Aplikasi ngga jelas, kemana larinya data-data yg sudah diinput, mau dientry lagi dicari namanya ngga ada. Jangan nambah"" nyusahin nakes lah, udah susah kita."
Ike Susyati,5,2026-04-15 01:32:10,good job
Stevy Bastian,1,2026-04-10 10:11:09,"ini nih akibat terlalu banyak aplikasi dari kemenkes. saat aplikasi tidak maksimal aka error, follow up nya lambat.. kalian suruh qt nakes input ini itu,, ee sistem kalian yang ga siap.."
ARNAN JAYA,5,2026-04-08 00:11:39,Semoga bermanfaat dan berkesinambungan
Meri Ana,3,2026-04-01 14:47:31,aplikasi sering eror begtu di buka tampil layar putih doang gak bisa di buka terpaksa di instal ulang.. tolong di optimalkan agar penginputan bisa lancar trimakasih..
Abi Ani,5,2026-03-30 01:26:43,"membantu pekerjaan saya, tapi aplikasi sering eror"
Kirana Yasmin Janeeta,3,2026-03-25 15:39:52,"Loading nya itu ga nahan. input 1 pasien pun bisa bbrp menit.internet lancar, aplikasi lambat"
Awet Wowor,5,2026-03-21 19:59:41,"All The Best Of The Best My Program,My Aplikasi,My team,My GLOBAL 🌐 Wajib Sehat Terus menjaga kesehatan Seluruh Negara INDONESIA Dan Seluruh Dunia,Wajib Masyarakat Memeriksa Kesehatan Seminggu Tiga kali 🌐🌐🌐🌐🌐🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨👑👑👑👑👑⭐⭐⭐⭐⭐😘🥰😍🤩🥳"
Adam Emha,4,2026-03-13 15:05:24,"admin sehat Indonesiaku mohon perbaiki lagi aplkasinya, sudah beberapa hari ini saya ingin masukkan data skrining Penyakit Tidak Menular (PTM) namun keterangan aplikasi masih terus ""sistem sedang bermasalah"" 🙏🏻"
Inna Bani,4,2026-03-12 03:40:02,oke
Selvy Suryandari,1,2026-03-10 10:55:37,menginput pelayanan skarang suka hilang2 datanya.... di input bulan lalu di Ari bulan ini ga ketemu....
Tati Hartati,5,2026-03-08 19:11:16,Terimakasih
Afita 123,3,2026-03-08 15:23:18,"tidak bisa di update, menghambat ke pengrjaan ASIK"
Dhani August,1,2026-03-05 04:03:34,"aplikasi BOSOK, suruh cepet nginput tapi lo gangguan terus"
Saudur Nainggolan,5,2026-03-04 02:35:32,baik
